pubchem_cid	protein	docking_score
11354606	papainlike	-8.40
11354606	ace2	-9.70
11354606	spike_rbd	-8.30
11354606	nucleocapsid	-11.10
11354606	tmprss2	-9.00
73416051	protease	-8.00
73416051	polymerase	-8.80
73416051	papainlike	-8.40
73416051	ace2	-9.10
73416051	spike_rbd	-8.00
73416051	nucleocapsid	-10.20
73416051	tmprss2	-8.60
10113978	protease	-8.50
10113978	polymerase	-8.70
10113978	papainlike	-8.70
10113978	ace2	-9.40
10113978	spike_rbd	-8.50
10113978	nucleocapsid	-10.40
10113978	tmprss2	-8.00
98052452	protease	-8.10
98052452	polymerase	-9.30
98052452	papainlike	-8.30
98052452	ace2	-9.60
98052452	spike_rbd	-8.40
98052452	nucleocapsid	-9.70
98052452	tmprss2	-8.60
57379345	protease	-7.90
57379345	polymerase	-7.50
57379345	papainlike	-7.80
57379345	ace2	-9.60
57379345	spike_rbd	-7.30
57379345	nucleocapsid	-9.80
57379345	tmprss2	-7.70
44462760	protease	-8.20
44462760	polymerase	-9.20
44462760	papainlike	-8.10
44462760	ace2	-9.50
44462760	spike_rbd	-8.70
44462760	nucleocapsid	-9.80
44462760	tmprss2	-8.10
99117258	protease	-8.00
99117258	polymerase	-9.00
99117258	papainlike	-8.10
99117258	ace2	-9.00
99117258	spike_rbd	-8.10
99117258	nucleocapsid	-10.40
99117258	tmprss2	-8.70
56640146	protease	-8.00
56640146	polymerase	-9.00
56640146	papainlike	-8.60
56640146	ace2	-9.30
56640146	spike_rbd	-8.20
56640146	nucleocapsid	-8.90
56640146	tmprss2	-8.30
454216	protease	-6.90
454216	polymerase	-9.50
454216	papainlike	-8.30
454216	ace2	-9.00
454216	spike_rbd	-8.70
454216	nucleocapsid	-9.60
454216	tmprss2	-7.40
5073	protease	-8.00
5073	polymerase	-8.60
5073	papainlike	-8.60
5073	ace2	-9.50
5073	spike_rbd	-9.00
5073	nucleocapsid	-10.50
5073	tmprss2	-8.40
213046	protease	-7.60
213046	polymerase	-8.60
213046	papainlike	-8.70
213046	ace2	-9.20
213046	spike_rbd	-7.90
213046	nucleocapsid	-10.40
213046	tmprss2	-9.20
135409642	protease	-8.60
135409642	polymerase	-10.10
135409642	papainlike	-9.00
135409642	ace2	-9.60
135409642	spike_rbd	-7.90
135409642	nucleocapsid	-10.70
135409642	tmprss2	-9.30
3002190	protease	-7.80
3002190	polymerase	-8.10
3002190	papainlike	-7.70
3002190	ace2	-9.80
3002190	spike_rbd	-7.20
3002190	nucleocapsid	-9.80
3002190	tmprss2	-8.40
11304743	protease	-7.00
11304743	polymerase	-8.10
11304743	papainlike	-7.70
11304743	ace2	-9.30
11304743	spike_rbd	-7.50
11304743	nucleocapsid	-9.60
11304743	tmprss2	-7.60
208908	protease	-7.70
208908	polymerase	-8.50
208908	papainlike	-8.60
208908	ace2	-9.70
208908	spike_rbd	-7.40
208908	nucleocapsid	-9.70
208908	tmprss2	-7.80
44631912	protease	-7.80
44631912	polymerase	-7.90
44631912	papainlike	-7.50
44631912	ace2	-8.80
44631912	spike_rbd	-7.10
44631912	nucleocapsid	-9.80
44631912	tmprss2	-7.40
441383	protease	-6.60
441383	polymerase	-8.40
441383	papainlike	-7.70
441383	ace2	-8.50
441383	spike_rbd	-8.00
441383	nucleocapsid	-9.10
441383	tmprss2	-7.30
135413538	protease	-7.70
135413538	polymerase	-8.60
135413538	papainlike	-8.20
135413538	ace2	-9.40
135413538	spike_rbd	-8.70
135413538	nucleocapsid	-10.50
135413538	tmprss2	-9.20
17753757	protease	-8.10
17753757	polymerase	-9.30
17753757	papainlike	-7.20
17753757	ace2	-9.10
17753757	spike_rbd	-7.80
17753757	nucleocapsid	-10.00
17753757	tmprss2	-8.40
10280735	protease	-7.50
10280735	polymerase	-7.90
10280735	papainlike	-7.80
10280735	ace2	-9.50
10280735	spike_rbd	-8.10
10280735	nucleocapsid	-9.10
10280735	tmprss2	-8.10
214348	protease	-8.00
214348	polymerase	-8.60
214348	papainlike	-7.90
214348	ace2	-9.00
214348	spike_rbd	-8.50
214348	nucleocapsid	-8.80
214348	tmprss2	-8.90
11476460	protease	-8.00
11476460	polymerase	-8.80
11476460	papainlike	-9.00
11476460	ace2	-8.90
11476460	spike_rbd	-7.40
11476460	nucleocapsid	-9.60
11476460	tmprss2	-7.90
44603531	protease	-8.10
44603531	polymerase	-9.30
44603531	papainlike	-7.60
44603531	ace2	-10.20
44603531	spike_rbd	-7.90
44603531	nucleocapsid	-10.40
44603531	tmprss2	-8.20
10182969	protease	-7.80
10182969	polymerase	-8.70
10182969	papainlike	-8.30
10182969	ace2	-8.70
10182969	spike_rbd	-8.30
10182969	nucleocapsid	-10.60
10182969	tmprss2	-8.40
216239	protease	-8.20
216239	polymerase	-8.70
216239	papainlike	-8.40
216239	ace2	-9.70
216239	spike_rbd	-7.70
216239	nucleocapsid	-9.70
216239	tmprss2	-9.10
25102847	protease	-8.30
25102847	polymerase	-8.90
25102847	papainlike	-8.50
25102847	ace2	-9.30
25102847	spike_rbd	-8.50
25102847	nucleocapsid	-9.90
25102847	tmprss2	-8.60
3749	protease	-9.80
3749	polymerase	-8.80
3749	papainlike	-8.10
3749	ace2	-8.70
3749	spike_rbd	-7.10
3749	nucleocapsid	-10.30
3749	tmprss2	-8.60
54726191	protease	-8.00
54726191	polymerase	-8.40
54726191	papainlike	-8.30
54726191	ace2	-9.20
54726191	spike_rbd	-8.00
54726191	nucleocapsid	-10.70
54726191	tmprss2	-8.30
89683805	protease	-8.30
89683805	polymerase	-8.60
89683805	papainlike	-8.00
89683805	ace2	-9.70
89683805	spike_rbd	-8.30
89683805	nucleocapsid	-9.60
89683805	tmprss2	-8.50
443958	protease	-7.70
443958	polymerase	-8.70
443958	papainlike	-7.80
443958	ace2	-8.60
443958	spike_rbd	-7.70
443958	nucleocapsid	-9.70
443958	tmprss2	-8.60
92212925	protease	-8.00
92212925	polymerase	-8.80
92212925	papainlike	-8.00
92212925	ace2	-9.00
92212925	spike_rbd	-7.90
92212925	nucleocapsid	-10.80
92212925	tmprss2	-7.80
10077130	protease	-8.00
10077130	polymerase	-8.80
10077130	papainlike	-8.00
10077130	ace2	-9.60
10077130	spike_rbd	-8.60
10077130	nucleocapsid	-9.40
10077130	tmprss2	-8.80
54686904	protease	-7.70
54686904	polymerase	-7.90
54686904	papainlike	-6.90
54686904	ace2	-9.20
54686904	spike_rbd	-7.00
54686904	nucleocapsid	-8.70
54686904	tmprss2	-7.60
92328104	protease	-8.70
92328104	polymerase	-8.90
92328104	papainlike	-7.70
92328104	ace2	-10.00
92328104	spike_rbd	-8.00
92328104	nucleocapsid	-10.50
92328104	tmprss2	-7.90
9875401	protease	-7.60
9875401	polymerase	-7.80
9875401	papainlike	-7.90
9875401	ace2	-8.70
9875401	spike_rbd	-7.20
9875401	nucleocapsid	-9.10
9875401	tmprss2	-7.90
70789201	protease	-8.00
70789201	polymerase	-8.80
70789201	papainlike	-8.40
70789201	ace2	-9.00
70789201	spike_rbd	-7.40
70789201	nucleocapsid	-9.80
70789201	tmprss2	-7.60
6918155	protease	-8.20
6918155	polymerase	-8.60
6918155	papainlike	-7.60
6918155	ace2	-9.50
6918155	spike_rbd	-7.70
6918155	nucleocapsid	-9.10
6918155	tmprss2	-8.00
9869929	protease	-7.70
9869929	polymerase	-7.90
9869929	papainlike	-7.40
9869929	ace2	-9.20
9869929	spike_rbd	-7.70
9869929	nucleocapsid	-9.50
9869929	tmprss2	-7.40
42611257	protease	-8.30
42611257	polymerase	-7.90
42611257	papainlike	-7.70
42611257	ace2	-9.30
42611257	spike_rbd	-7.90
42611257	nucleocapsid	-9.80
42611257	tmprss2	-8.20
122172969	protease	-8.10
122172969	polymerase	-9.20
122172969	papainlike	-8.00
122172969	ace2	-9.80
122172969	spike_rbd	-8.60
122172969	nucleocapsid	-9.70
122172969	tmprss2	-8.70
31101	protease	-8.60
31101	polymerase	-8.90
31101	papainlike	-8.70
31101	ace2	-10.20
31101	spike_rbd	-8.50
31101	nucleocapsid	-9.70
31101	tmprss2	-9.70
10033059	protease	-7.90
10033059	polymerase	-9.10
10033059	papainlike	-7.60
10033059	ace2	-8.70
10033059	spike_rbd	-7.20
10033059	nucleocapsid	-9.50
10033059	tmprss2	-8.00
25025298	protease	-7.30
25025298	polymerase	-8.60
25025298	papainlike	-7.90
25025298	ace2	-8.50
25025298	spike_rbd	-7.50
25025298	nucleocapsid	-9.60
25025298	tmprss2	-7.50
2882	protease	-7.00
2882	polymerase	-8.10
2882	papainlike	-7.10
2882	ace2	-8.90
2882	spike_rbd	-7.50
2882	nucleocapsid	-9.60
2882	tmprss2	-8.20
124761803	protease	-7.90
124761803	polymerase	-8.90
124761803	papainlike	-7.20
124761803	ace2	-9.10
124761803	spike_rbd	-7.40
124761803	nucleocapsid	-8.50
124761803	tmprss2	-8.70
76955908	protease	-7.50
76955908	polymerase	-8.90
76955908	papainlike	-7.60
76955908	ace2	-8.70
76955908	spike_rbd	-7.30
76955908	nucleocapsid	-9.00
76955908	tmprss2	-7.70
441184	protease	-7.30
441184	polymerase	-7.20
441184	papainlike	-7.80
441184	ace2	-8.60
441184	spike_rbd	-7.00
441184	nucleocapsid	-8.80
441184	tmprss2	-7.40
25151504	protease	-7.70
25151504	polymerase	-8.00
25151504	papainlike	-7.40
25151504	ace2	-9.10
25151504	spike_rbd	-7.60
25151504	nucleocapsid	-9.30
25151504	tmprss2	-7.40
15951529	protease	-7.60
15951529	polymerase	-7.90
15951529	papainlike	-7.90
15951529	ace2	-8.90
15951529	spike_rbd	-7.70
15951529	nucleocapsid	-9.70
15951529	tmprss2	-7.80
56841472	protease	-7.10
56841472	polymerase	-8.90
56841472	papainlike	-7.90
56841472	ace2	-8.50
56841472	spike_rbd	-7.60
56841472	nucleocapsid	-9.30
56841472	tmprss2	-8.30
92727	protease	-7.50
92727	polymerase	-9.30
92727	papainlike	-7.20
92727	ace2	-9.20
92727	spike_rbd	-6.50
92727	nucleocapsid	-9.70
92727	tmprss2	-7.60
51399532	protease	-8.30
51399532	polymerase	-8.10
51399532	papainlike	-8.50
51399532	ace2	-10.30
51399532	spike_rbd	-8.30
51399532	nucleocapsid	-10.40
51399532	tmprss2	-7.40
5625	protease	-7.20
5625	polymerase	-7.90
5625	papainlike	-7.40
5625	ace2	-9.00
5625	spike_rbd	-7.30
5625	nucleocapsid	-9.60
5625	tmprss2	-7.60
64143	protease	-7.90
64143	polymerase	-8.40
64143	papainlike	-7.80
64143	ace2	-9.40
64143	spike_rbd	-7.70
64143	nucleocapsid	-9.20
64143	tmprss2	-7.70
11625818	protease	-7.70
11625818	polymerase	-8.30
11625818	papainlike	-7.90
11625818	ace2	-9.40
11625818	spike_rbd	-7.70
11625818	nucleocapsid	-9.80
11625818	tmprss2	-8.10
43672	protease	-8.00
43672	polymerase	-8.30
43672	papainlike	-7.80
43672	ace2	-9.10
43672	spike_rbd	-7.60
43672	nucleocapsid	-9.50
43672	tmprss2	-7.90
9870655	protease	-6.90
9870655	polymerase	-7.40
9870655	papainlike	-7.90
9870655	ace2	-8.90
9870655	spike_rbd	-6.60
9870655	nucleocapsid	-10.20
9870655	tmprss2	-8.00
11626560	protease	-7.40
11626560	polymerase	-7.90
11626560	papainlike	-7.30
11626560	ace2	-8.50
11626560	spike_rbd	-7.00
11626560	nucleocapsid	-9.50
11626560	tmprss2	-7.40
5281040	protease	-8.20
5281040	polymerase	-8.80
5281040	papainlike	-8.00
5281040	ace2	-9.70
5281040	spike_rbd	-7.30
5281040	nucleocapsid	-10.10
5281040	tmprss2	-8.40
445643	protease	-7.30
445643	polymerase	-8.20
445643	papainlike	-7.60
445643	ace2	-8.40
445643	spike_rbd	-6.80
445643	nucleocapsid	-9.00
445643	tmprss2	-8.50
6603853	protease	-6.70
6603853	polymerase	-8.30
6603853	papainlike	-7.40
6603853	ace2	-8.90
6603853	spike_rbd	-7.60
6603853	nucleocapsid	-10.10
6603853	tmprss2	-8.00
135659016	protease	-7.80
135659016	polymerase	-8.60
135659016	papainlike	-7.20
135659016	ace2	-9.10
135659016	spike_rbd	-8.00
135659016	nucleocapsid	-10.00
135659016	tmprss2	-7.50
9852982	protease	-7.40
9852982	polymerase	-9.10
9852982	papainlike	-7.70
9852982	ace2	-8.60
9852982	spike_rbd	-7.50
9852982	nucleocapsid	-9.20
9852982	tmprss2	-8.00
108150	protease	-8.50
108150	polymerase	-9.20
108150	papainlike	-7.50
108150	ace2	-10.20
108150	spike_rbd	-8.00
108150	nucleocapsid	-9.70
108150	tmprss2	-7.90
5284447	protease	-8.50
5284447	polymerase	-9.10
5284447	papainlike	-7.90
5284447	ace2	-9.60
5284447	spike_rbd	-8.20
5284447	nucleocapsid	-10.30
5284447	tmprss2	0.00
10096344	protease	-7.40
10096344	polymerase	-8.20
10096344	papainlike	-8.10
10096344	ace2	-9.00
10096344	spike_rbd	-7.40
10096344	nucleocapsid	-9.80
10096344	tmprss2	-8.70
135565674	protease	-7.00
135565674	polymerase	-7.40
135565674	papainlike	-7.30
135565674	ace2	-8.70
135565674	spike_rbd	-7.00
135565674	nucleocapsid	-8.00
135565674	tmprss2	-7.00
135550179	protease	-8.00
135550179	polymerase	-8.20
135550179	papainlike	-7.00
135550179	ace2	-9.40
135550179	spike_rbd	-7.20
135550179	nucleocapsid	-8.30
135550179	tmprss2	-7.70
487101	protease	-6.90
487101	polymerase	-8.40
487101	papainlike	-7.40
487101	ace2	-8.50
487101	spike_rbd	-7.30
487101	nucleocapsid	-8.60
487101	tmprss2	-7.50
